Time [s],Proposed_system,Standard
970.0,58,136
971.0,59,137
972.0,60,138
973.0,59,136
974.0,59,136
975.0,59,135
976.0,59,137
977.0,59,137
978.0,59,137
979.0,59,137
980.0,60,139
981.0,60,138
982.0,61,139
983.0,62,140
984.0,62,140
985.0,63,141
986.0,64,142
987.0,64,141
988.0,64,140
989.0,65,141
990.0,64,140
991.0,64,140
992.0,66,142
993.0,67,143
994.0,68,143
995.0,68,144
996.0,69,144
997.0,69,145
998.0,68,144
999.0,68,144
1000.0,66,144
1001.0,66,144
1002.0,67,143
1003.0,67,143
1004.0,67,142
1005.0,69,144
1006.0,67,143
1007.0,66,142
1008.0,64,141
1009.0,62,141
1010.0,62,140
1011.0,63,139
1012.0,63,139
1013.0,61,138
1014.0,61,137
1015.0,60,136
1016.0,61,135
1017.0,63,137
1018.0,62,135
1019.0,62,137
1020.0,66,138
1021.0,68,139
1022.0,68,139
1023.0,70,142
1024.0,70,142
1025.0,70,143
1026.0,69,143
1027.0,67,142
1028.0,66,144
1029.0,66,144
1030.0,66,144
1031.0,66,145
1032.0,66,146
1033.0,65,145
1034.0,66,144
1035.0,67,144
1036.0,67,144
1037.0,67,142
1038.0,68,142
1039.0,67,140
1040.0,68,140
1041.0,69,139
1042.0,68,138
1043.0,68,136
1044.0,69,137
1045.0,71,139
1046.0,71,138
1047.0,71,139
1048.0,72,139
1049.0,73,140
1050.0,73,141
1051.0,74,141
1052.0,73,141
1053.0,73,142
1054.0,74,144
1055.0,73,144
1056.0,73,144
1057.0,73,145
1058.0,73,144
1059.0,73,145
1060.0,73,145
1061.0,72,145
1062.0,73,147
1063.0,72,147
1064.0,72,147
1065.0,71,148
1066.0,71,148
1067.0,72,149
1068.0,72,150
1069.0,73,150
1070.0,73,148
1071.0,74,148
1072.0,73,147
1073.0,74,146
1074.0,74,147
1075.0,74,147
1076.0,74,147
1077.0,72,147
1078.0,72,148
1079.0,71,147
1080.0,71,147
1081.0,71,148
1082.0,70,147
1083.0,70,147
1084.0,70,147
1085.0,70,147
1086.0,70,147
1087.0,70,147
1088.0,70,147
1089.0,71,148
1090.0,71,148
1091.0,70,148
1092.0,71,147
1093.0,71,146
1094.0,71,147
1095.0,71,146
1096.0,73,148
1097.0,73,147
1098.0,73,146
1099.0,73,144
1100.0,73,144
1101.0,72,144
1102.0,75,143
1103.0,75,142
1104.0,74,141
1105.0,73,139
1106.0,73,136
1107.0,75,135
1108.0,74,135
1109.0,73,134
1110.0,72,132
1111.0,73,131
1112.0,75,130
1113.0,74,129
1114.0,74,131
1115.0,74,132
1116.0,74,132
1117.0,75,133
1118.0,76,133
1119.0,76,133
1120.0,76,135
1121.0,77,134
1122.0,77,137
1123.0,78,138
1124.0,78,139
1125.0,80,140
1126.0,80,140
1127.0,81,141
1128.0,81,140
1129.0,79,140
1130.0,78,141
1131.0,77,139
1132.0,77,139
1133.0,76,138
1134.0,76,139
1135.0,77,140
1136.0,77,140
1137.0,77,141
1138.0,78,141
1139.0,79,141
1140.0,80,142
1141.0,81,143
1142.0,81,145
